Case number,AER form,Received date,Reporter,Country,Gender,Species,Breed,Drug,Reaction,Animals affected,Animals treated,Animals died
AU-UKDECHRAP-2020-01796,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1380238&_xt=AER&_xf=pdf""> AER </a>",2020-02-07 00:00:00,Other health care professional,Australia,MALE,Dog,Terrier - Bull - Staffordshire,"Previcox 227 mg - Chewable tablet, Previcox 57 mg - Chewable tablet, Previcox 8.2 mg/g - Oral paste, Vibravet Pasta 10%, 100 mg/g pasta per uso orale, Vibravet compresse 100 mg, Vibravet compresse 200 mg","Abnormal adrenocorticotropic hormone (ACTH) stimulation test, Ataxia, Cough, Elevated blood urea nitrogen (BUN), Elevated creatinine, Eosinophilia, Hyperkalaemia, Hyperphosphataemia, Hypocortisolaemia, Hypoglycaemia, Inappetence, Increased packed cell volume (PCV), Low sodium-potassium ratio (Na:K ratio), Prolonged capillary refill time, Pyrexia, Tachycardia, Vomiting, Weakness",1,1,
AUS-BIAHPV1P-20AU000261,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1387233&_xt=AER&_xf=pdf""> AER </a>",2020-03-02 00:00:00,Veterinarian,Australia,FEMALE,Dog,Maltese,Previcox 57 mg - Chewable tablet,"Abnormal posture NOS, Elevated liver enzymes NOS, Off food, Pain NOS, Trembling",1,1,
AUS-BIAHPV1P-20AU000426,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1407244&_xt=AER&_xf=pdf""> AER </a>",2020-05-20 00:00:00,Other health care professional,Australia,MALE,Dog,Dog (other),Previcox 227 mg - Chewable tablet,Lack of efficacy - NOS,1,1,
AUS-BIAHPV1P-20AU000427,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1397158&_xt=AER&_xf=pdf""> AER </a>",2020-04-06 00:00:00,Veterinarian,Australia,MALE,Dog,Terrier - Bull - Staffordshire,Previcox 227 mg - Chewable tablet,"Decreased appetite, Melaena",1,1,
AUS-BIAHPV1P-20AU000821,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1417072&_xt=AER&_xf=pdf""> AER </a>",2020-06-24 00:00:00,Veterinarian,Australia,MALE,Dog,Beagle,"Metacam 0.5 mg/ml - Oral suspension (cats, guinea pigs), Metacam 0.5 mg/ml - Oral suspension (dogs), Metacam 1.5 mg/ml - Oral suspension (dogs), Metacam 15 mg/ml - Oral suspension (horses), Metacam 15 mg/ml - Oral suspension (pigs), Previcox 57 mg - Chewable tablet","Abdominal effusion, Duodenal ulcer, Unable to stand, Vomiting",1,1,
AUS-BIAHPV1P-20AU000869,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1420799&_xt=AER&_xf=pdf""> AER </a>",2020-07-08 00:00:00,Veterinarian,Australia,MALE,Dog,Shepherd Dog - German,Previcox 227 mg - Chewable tablet,"Cellulitis, Cutaneous necrosis, Death by euthanasia, Oral cavity disorder NOS, Skin abscess",1,1,1
AUS-BIAHPV1P-20AU000892,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1423670&_xt=AER&_xf=pdf""> AER </a>",2020-07-17 00:00:00,Veterinarian,Australia,MALE,Dog,Australian Kelpie,"Butorgesic 10 mg/ml Injektionslösung für Pferde, Hunde und Katzen, Butorgesic 10 mg/ml solution for injection, Previcox 227 mg - Chewable tablet","Bloody diarrhoea, Inappetence, Monocytosis, Nausea, Rectal bleeding, Sedation prolonged",1,1,
AUS-BIAHPV1P-20AU000912,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1423669&_xt=AER&_xf=pdf""> AER </a>",2020-07-17 00:00:00,Veterinarian,Australia,UNKNOWN,Dog,Dog (other),Previcox 57 mg - Chewable tablet,Death,1,1,1
AUS-BIAHPV1P-20AU001051,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1446163&_xt=AER&_xf=pdf""> AER </a>",2020-10-08 00:00:00,Veterinarian,Australia,FEMALE,Dog,Shepherd Dog - German,Previcox 227 mg - Chewable tablet,Seizure NOS,1,1,
AUS-BIAHPV1P-20AU001301,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1445438&_xt=AER&_xf=pdf""> AER </a>",2020-10-06 00:00:00,Veterinarian,Australia,MALE,Dog,Dalmatian,Previcox 227 mg - Chewable tablet,"Blood in vomit, Melaena, Neutrophilia, Pale mucous membrane, Regenerative anaemia, Vomiting, Weight loss",1,1,
