pt,country_group,n_sims,median_risk_observed,lower_95_observed,upper_95_observed,median_risk_corrected,lower_95_corrected,upper_95_corrected,n_exposed
Digestive tract disorder NOS,Australia,1000,0.006951850469998671,0.004510760805501584,0.01043852298374448,0.04076025938985377,0.013344500335527313,0.09773131516515145,103765624
Eosinopenia,Australia,1000,0.006951850469998671,0.004510760805501584,0.01043852298374448,0.04076025938985377,0.013344500335527313,0.09773131516515145,103765624
Epistaxis,Australia,1000,0.006951850469998671,0.004510760805501584,0.01043852298374448,0.04076025938985377,0.013344500335527313,0.09773131516515145,103765624
Eye redness,Australia,1000,0.006951850469998671,0.004510760805501584,0.01043852298374448,0.04076025938985377,0.013344500335527313,0.09773131516515145,103765624
Fluid in abdomen,Australia,1000,0.006951850469998671,0.004510760805501584,0.01043852298374448,0.04076025938985377,0.013344500335527313,0.09773131516515145,103765624
Hepatomegaly,Australia,1000,0.006951850469998671,0.004510760805501584,0.01043852298374448,0.04076025938985377,0.013344500335527313,0.09773131516515145,103765624
Hyperaesthesia,Australia,1000,0.006951850469998671,0.004510760805501584,0.01043852298374448,0.04076025938985377,0.013344500335527313,0.09773131516515145,103765624
Hyperextension,Australia,1000,0.006951850469998671,0.004510760805501584,0.01043852298374448,0.04076025938985377,0.013344500335527313,0.09773131516515145,103765624
Hyperkalaemia,Australia,1000,0.006951850469998671,0.004510760805501584,0.01043852298374448,0.04076025938985377,0.013344500335527313,0.09773131516515145,103765624
Hypoalbuminaemia,Australia,1000,0.006951850469998671,0.004510760805501584,0.01043852298374448,0.04076025938985377,0.013344500335527313,0.09773131516515145,103765624
Hypophosphataemia,Australia,1000,0.006951850469998671,0.004510760805501584,0.01043852298374448,0.04076025938985377,0.013344500335527313,0.09773131516515145,103765624
Hypoproteinaemia,Australia,1000,0.006951850469998671,0.004510760805501584,0.01043852298374448,0.04076025938985377,0.013344500335527313,0.09773131516515145,103765624
Immune mediated thrombocytopenia,Australia,1000,0.006951850469998671,0.004510760805501584,0.01043852298374448,0.04076025938985377,0.013344500335527313,0.09773131516515145,103765624
Mental confusion,Australia,1000,0.006951850469998671,0.004510760805501584,0.01043852298374448,0.04076025938985377,0.013344500335527313,0.09773131516515145,103765624
Spondylopathy,Australia,1000,0.006951850469998671,0.004510760805501584,0.01043852298374448,0.04076025938985377,0.013344500335527313,0.09773131516515145,103765624
Abnormal movement NOS,Australia,1000,0.005958728974284575,0.003866366404715643,0.008947305414638127,0.034937365191303235,0.011438143144737697,0.08376969871298696,103765624
Alkalosis,Australia,1000,0.005958728974284575,0.003866366404715643,0.008947305414638127,0.034937365191303235,0.011438143144737697,0.08376969871298696,103765624
Anisocoria,Australia,1000,0.005958728974284575,0.003866366404715643,0.008947305414638127,0.034937365191303235,0.011438143144737697,0.08376969871298696,103765624
Appetite disorder NOS,Australia,1000,0.005958728974284575,0.003866366404715643,0.008947305414638127,0.034937365191303235,0.011438143144737697,0.08376969871298696,103765624
Cardiac disorder NOS,Australia,1000,0.005958728974284575,0.003866366404715643,0.008947305414638127,0.034937365191303235,0.011438143144737697,0.08376969871298696,103765624
