Case number,AER form,Received date,Reporter,Country,Gender,Species,Breed,Drug,Reaction,Animals affected,Animals treated,Animals died
014-2008,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=32192&_xt=AER&_xf=pdf""> AER </a>",2008-09-26 00:00:00,Veterinarian,Sweden,MALE,Dog,Unknown,"Rimadyl, 20 mg närimistablett koertele",Gastric perforation,1,1,
015-2008,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=32193&_xt=AER&_xf=pdf""> AER </a>",2008-09-26 00:00:00,Veterinarian,Sweden,FEMALE,Dog,Unknown,Rimadyl Palatable Tablets da 20 mg per cani,Gastric perforation,1,1,
2007-DE-00375,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=23703&_xt=AER&_xf=pdf""> AER </a>",2008-02-04 00:00:00,Other health care professional,Germany,MALE,Cat,European,"Canidryl 20 mg Tablets for dogs, Rofeniflex 20 mg Tablets for dogs","Anorexia, Apathy, Other abnormal test result NOS, Polydipsia",1,1,
233-2008,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=36502&_xt=AER&_xf=pdf""> AER </a>",2008-11-26 00:00:00,Veterinarian,Sweden,MALE,Dog,Unknown,"Rimadyl, 20 mg närimistablett koertele",Skin inflammation NOS,1,1,
AT-BASGAGESV-080024,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=29756&_xt=AER&_xf=pdf""> AER </a>",2008-07-16 00:00:00,Veterinarian,Austria,MALE,Dog,Unknown,"Rimadyl 50 mg/ml injekčný roztok, Rimadyl, 50 mg närimistablett koertele","Anorexia, Death, Diarrhoea, Dyspnoea, Emesis, Hepatopathy, Hyperthermia, Leukocytosis NOS",1,1,1
BE-FAGG-DVV84-N2008-6,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=23226&_xt=AER&_xf=pdf""> AER </a>",2008-01-29 00:00:00,Veterinarian,Belgium,FEMALE,Cattle,Unknown,RIMADYL Cattle 50 mg/ml Solution for Injection,Death,1,4,1
CA-UKPFIZAH-2008-CA-00654,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=35234&_xt=AER&_xf=pdf""> AER </a>",2008-11-13 00:00:00,Animal owner,Canada,FEMALE,Dog,Terrier - Bull - Staffordshire,"Rimadyl vet. 100 mg Tuggtablett, Rimadyl vet. 20 mg Tuggtablett, Rimadyl vet. 50 mg Tuggtablett, Rimadyl vet., 100 mg, Tuggtablett","Ataxia, Polydipsia, Polyuria, Tarry or black stool (see also haemorrhagic diarrhoea), Vestibular disorder NOS, Vomiting",1,1,1
CA-UKPFIZAH-2008-CA-00871,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=35235&_xt=AER&_xf=pdf""> AER </a>",2008-11-13 00:00:00,Veterinarian,Canada,MALE,Dog,Pug,"Rimadyl vet. 100 mg Tuggtablett, Rimadyl vet. 20 mg Tuggtablett, Rimadyl vet. 50 mg Tuggtablett, Rimadyl vet., 100 mg, Tuggtablett","Circulatory shock, Unexplained death",1,1,1
CA-UKPFIZAH-2008-CA-01012,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=34820&_xt=AER&_xf=pdf""> AER </a>",2008-11-07 00:00:00,Veterinarian,Canada,FEMALE,Dog,Spitz - German Pomeranian,"Rimadyl, 100 mg närimistablett koertele",Emesis,1,1,1
CA-UKPFIZAH-2008-CA-01110,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=34821&_xt=AER&_xf=pdf""> AER </a>",2008-11-07 00:00:00,Veterinarian,Canada,MALE,Dog,Bichon Frise,"Rimadyl, 100 mg närimistablett koertele","Death, Diarrhoea, Hypothermia, Not eating, Pallor, Purulent lesion(s)",1,1,1
CA-UKPFIZAH-2008-CA-01422,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=37531&_xt=AER&_xf=pdf""> AER </a>",2008-12-12 00:00:00,Animal owner,Canada,MALE,Dog,Dalmatian,"Rimadyl vet. 100 mg Tuggtablett, Rimadyl vet. 20 mg Tuggtablett, Rimadyl vet. 50 mg Tuggtablett, Rimadyl vet., 100 mg, Tuggtablett","Anaemia NOS, Anorexia, Circulatory collapse (see also Neurological and Systemic disorders), Death, Elevated liver enzymes NOS, Elevated renal parameters, Hepatic neoplasm, Hind limb paresis, Leukocytosis NOS, Vomiting",1,1,1
DE-UKPFIZAH-2007-DE-00147,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=27910&_xt=AER&_xf=pdf""> AER </a>",2008-06-02 00:00:00,Veterinarian,Germany,MALE,Cat,European,"Convenia 80 mg/ml  - Powder and solvent for solution for injection, Cortico Veyxin 10 mg/ml suspension for injection for cattle, horses, dogs and cats, Metacam 5 mg/ml - Solution for injection (cats, dogs), Metacam 5 mg/ml - Solution for injection (cattle, pigs), Metacam 5 mg/ml - Solution for injection (dogs), Prednisolon 5 mg, Prednisolon 5 mg, tabletten voor honden en katten, Prednisolon ad us. vet 10 mg/ml suspension for injection for cattle, horses, dogs and cats, Prednisolon-50 mg, Rimadyl Palatable Tablets 50, Veyxin 10 mg/ml suspensão injetável para bovinos, equídeos, cães e gatos","Death, Lethargy (see also Central nervous system depression in Neurological), Trauma NOS",1,1,1
DE-UKPFIZAH-2008-DE-00389,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=34013&_xt=AER&_xf=pdf""> AER </a>",2008-10-27 00:00:00,Veterinarian,Germany,FEMALE,Cat,European,Rimadyl Palatable Tablets 100 mg,"Acute renal failure, Death by euthanasia, Emesis, Hypothermia, Vocalisation",1,1,1
