Case number,AER form,Received date,Reporter,Country,Gender,Species,Breed,Drug,Reaction,Animals affected,Animals treated,Animals died
AT-BASGAGESV-200036,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1389353&_xt=AER&_xf=pdf""> AER </a>",2020-03-09 00:00:00,Veterinarian,Austria,FEMALE,Dog,Retriever - Flat-coated,"BUTOMIDOR, 10mg/ml, Injekční roztok, BUTOMIDOR, soluție injectabilă, Butador 10 mg/ml solution for injection for horses, dogs and cats, Butomidor 10 mg/mL, otopina za injekciju, za konje, pse i mačke, Butomidor 10 mg/ml Injektionslösung für Pferde, Hunde und Katzen, Butomidor 10 mg/ml Roztwór do wstrzykiwań, Butomidor 10 mg/ml injekčný roztok pre kone, psy a mačky, Butomidor 10 mg/ml oldatos injekció A.U.V., Butomidor 10 mg/ml ΕΝΕΣΙΜΟ ΔΙΑΛΥΜΑ, Butomidor, 10 mg/ml süstelahus hobustele, koertele ja kassidele, Cepetor 1 mg/ml Solution for Injection for Dog and Cat, Onsior 20 mg  - Tablet (dogs), PROPOFOL LIPURO 10 mg/ml Emulsion for injection Braun Veterinary use, Revertor 5 mg/ml Solution for Injection for Dogs and Cats, Бутомидор 10 mg/ml – инжекционен разтвор за коне, кучета и котки","Emesis, Increased intra-ocular pressure, Lethargy (see also Central nervous system depression in Neurological)",1,1,
AU-BAYERBAH-2020-619061,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1381578&_xt=AER&_xf=pdf""> AER </a>",2020-02-11 00:00:00,Animal owner,Australia,FEMALE,Dog,Crossbred Canine/dog,"Onsior 10 mg  - Tablet (dogs), Onsior 20 mg  - Tablet (dogs), Onsior 20 mg/ml  - Solution for injection (cats and dogs), Onsior 40 mg  - Tablet (dogs), Onsior 5 mg  - Tablet (dogs), Onsior 6 mg  - Tablet (cats), Seresto 4.50 g + 2.03 g, collar for dogs > 8 kg","Behavioural disorder NOS, Drinking a lot, Fatigue, Frequent urination, Inappropriate urination, Seizure NOS, Vomiting, Walking difficulty",1,1,
AUS-ZZELANCO-AU2020_000086,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1385980&_xt=AER&_xf=pdf""> AER </a>",2020-02-25 00:00:00,Other health care professional,Australia,FEMALE,Dog,"Cattle Dog - Australian (blue heeler, red heeler, Queensland cattledog)","Foresto 1,25 g + 0,56 g zgardă antiparazitară pentru câini < 8 kg, Foresto 1,25 g + 0,56 g, antkaklis katėms ir šunims iki 8 kg svorio, Onsior 40 mg  - Tablet (dogs), SERESTO (1,25+0,563)g ΠΕΡΙΛΑΙΜΙΟ, SERESTO 1,25+0,563g/περ.38 ΠΕΡΙΛΑΙΜΙΟ, SERESTO COLAR 4,5+2,025g/περ.70cm ΠΕΡΙΛΑΙΜΙΟ, Seresto 1,25 g + 0,56 g collier pour chats, Seresto 1,25 g + 0,56 g collier pour chats et chiens ≤ 8 kg, Seresto 1,25 g + 0,56 g collier pour chiens ≤ 8 kg, Seresto 1.25 g + 0.56 g, collar for cats, Seresto 1.25 g + 0.56 g, collar for cats and dogs = 8 kg, Seresto 1.25 g + 0.56 g, collar for cats and dogs ≤ 8 kg, Seresto 1.25 g + 0.56 g, collar for dogs ≤ 8 kg, Seresto 4,50 g + 2,03 g collier pour chiens > 8 kg, Seresto 4.50 g + 2.03 g, collar for dogs > 8 kg, Seresto Cat collier pour chats 1.25 g - 0.56 g Collier, Seresto Cat halsband voor katten 1.25 g - 0.56 g Halsband, Seresto Dog 4,50 g+ 2,03 g collier pour chiens > 8 kg, Seresto Dog halsband voor honden groter dan 8 kg 4.5 g - 2.03 g Halsband, Seresto Dog halsband voor honden kleiner of gelijk aan 8 kg 1.25 g - 0.56 g Halsband, Seresto Vet. til hunde over 8 kg 4,50 g+2,03 g halsbånd, Seresto Vet. til katte 1,25 g+0,56 g halsbånd, Seresto coleira 1,25 g + 0,56 g para cães ≤ 8 kg, Seresto coleira 1,25 g + 0,56 g para gatos, Seresto coleira 1,25 g + 0,56 g para gatos e cães ≤ 8 kg, Seresto coleira 4,50 g + 2,03 g para cães > 8 kg","Behavioural disorder NOS, Fatigue, Frequent urination, Inappropriate urination, Polydipsia, Seizure NOS, Star-gazing, Vomiting, Walking difficulty",1,1,
AUS-ZZELANCO-AU2020_000441,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1454101&_xt=AER&_xf=pdf""> AER </a>",2020-11-05 00:00:00,Veterinarian,Australia,FEMALE,Dog,Rottweiler,Onsior 40 mg  - Tablet (dogs),Thrombocytopenia,1,1,
BE-FAGG-DVV-N2020-611,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1434646&_xt=AER&_xf=pdf""> AER </a>",2020-08-24 00:00:00,Other health care professional,Belgium,FEMALE,Human,Unknown,Onsior 20 mg/ml  - Solution for injection (cats and dogs),Eye irritation,1,,
BRA-ZZELANCO-BR2020_000683,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1390928&_xt=AER&_xf=pdf""> AER </a>",2020-03-13 00:00:00,Veterinarian,Brazil,MALE,Dog,Maltese,"Onsior 20 mg/ml  - Solution for injection (cats and dogs), Tramadog 50 mg tablet for dogs",Blood in urine,1,1,
BRA-ZZELANCO-BR2020_000757,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1390936&_xt=AER&_xf=pdf""> AER </a>",2020-03-13 00:00:00,Veterinarian,Brazil,FEMALE,Dog,"Dog (other), Hound - Swiss - (Lucerne Hound (Luzerner Laufhund), Schwyz Hound (Schweizer Laufhund), Bernese Hound, Jura Hound)",Onsior 20 mg/ml  - Solution for injection (cats and dogs),Blood in urine,1,1,
CAN-MERCKMSD-2020-CA-01504,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1424606&_xt=AER&_xf=pdf""> AER </a>",2020-07-20 00:00:00,Veterinarian,Canada,FEMALE,Dog,Retriever - Golden,"Bravecto 1000 mg - Chewable tablet, Onsior 10 mg  - Tablet (dogs), Onsior 20 mg  - Tablet (dogs), Onsior 20 mg/ml  - Solution for injection (cats and dogs), Onsior 40 mg  - Tablet (dogs), Onsior 5 mg  - Tablet (dogs), Onsior 6 mg  - Tablet (cats)","Ataxia, Death by euthanasia, Impaired vision, Intention tremor, Lens disorder NOS, Licking, Limb weakness, Scratching, Skin inflammation NOS",1,1,1
CAN-ZZELANCO-CA2018_000295,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1381620&_xt=AER&_xf=pdf""> AER </a>",2020-02-11 00:00:00,Animal owner,Canada,UNKNOWN,Cat,Cat (other),"Onsior 10 mg  - Tablet (dogs), Onsior 20 mg  - Tablet (dogs), Onsior 20 mg/ml  - Solution for injection (cats and dogs), Onsior 40 mg  - Tablet (dogs), Onsior 5 mg  - Tablet (dogs), Onsior 6 mg  - Tablet (cats)","Death by euthanasia, Liver disorder NOS",1,1,1
CAN-ZZELANCO-CA2019_001356,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1383931&_xt=AER&_xf=pdf""> AER </a>",2020-02-18 00:00:00,Other health care professional,Canada,MALE,Dog,Shepherd Dog - Australian,Onsior 40 mg  - Tablet (dogs),"Elevated alanine aminotransferase (ALT), Ligament rupture, Other abnormal test result NOS",1,1,
