Case number,AER form,Received date,Reporter,Country,Gender,Species,Breed,Drug,Reaction,Animals affected,Animals treated,Animals died
AND-BIAHPV1P-19AD000001,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1294776&_xt=AER&_xf=pdf""> AER </a>",2019-04-17 00:00:00,Animal owner,Andorra,FEMALE,Dog,Retriever - Labrador,Previcox 227 mg - Chewable tablet,"Apathy, Distension of abdomen, Elevated creatine-kinase (CK), Elevated serum alkaline phosphatase (ALP), Extrasystole, Hypoalbuminaemia, Intestinal perforation, Inversion of albumin/globulin ratio, Leukocytosis NOS, Leukopenia NOS, Pale mucous membrane, Renal insufficiency, Tarry or black stool (see also haemorrhagic diarrhoea), Tense abdomen, Thrombocytosis, Vomiting",1,1,
ARG-USMERIAL-16AR000082,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1356161&_xt=AER&_xf=pdf""> AER </a>",2019-11-14 00:00:00,Animal owner,Argentina,FEMALE,Dog,Retriever - Golden,Previcox 227 mg - Chewable tablet,"Elevated blood urea nitrogen (BUN), Mucous stool",1,1,
AU-UKPFIZAH-2019-AU-00078,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1270075&_xt=AER&_xf=pdf""> AER </a>",2019-01-24 00:00:00,Veterinarian,Australia,FEMALE,Dog,Terrier - Jack Russell,"Apoquel 16 mg - Chewable tablet, Apoquel 16 mg - Film-coated tablet, Apoquel 3.6 mg - Chewable tablet, Apoquel 3.6 mg - Film-coated tablet, Apoquel 5.4 mg - Chewable tablet, Apoquel 5.4 mg - Film-coated tablet, DFV DOXIVET 200 mg/ml, solution for use in drinking water for pigs and chickens, DFV DOXIVET 500 mg/g, powder for use in drinking water for pigs and chickens, Doxycycline 100 mg tablet, voor honden en katten, Doxycycline 15 mg tabletten voor honden en katten, Doxycycline 20% W.O., Doxycycline 20% W.O. poeder voor toediening via drinkwater voor vleeskuikens, Doxycycline 50% WSP, 500 mg/g, prašak za primjenu u vodi za piće/mliječnoj zamjenici, za goveda, svinje i kokoši, Doxycycline 500 mg/kg, poeder voor gebruik in drinkwater voor varken en kip, Doxycycline 75 mg tabletten voor honden, Doxycycline tabletten 20 mg voor honden en katten, Previcox 227 mg - Chewable tablet, Previcox 57 mg - Chewable tablet, Previcox 8.2 mg/g - Oral paste, Доксициклин 20% водоразтворим прах, Доксициклин 200 водоразтворим прах","Falling, Staggering",1,1,
AU-UKPFIZAH-2019-AU-00192,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1277268&_xt=AER&_xf=pdf""> AER </a>",2019-02-18 00:00:00,Animal owner,Australia,MALE,Dog,Siberian Husky,"Apoquel 16 mg - Chewable tablet, Apoquel 16 mg - Film-coated tablet, Apoquel 3.6 mg - Chewable tablet, Apoquel 3.6 mg - Film-coated tablet, Apoquel 5.4 mg - Chewable tablet, Apoquel 5.4 mg - Film-coated tablet, Previcox 227 mg - Chewable tablet, Previcox 57 mg - Chewable tablet, Previcox 8.2 mg/g - Oral paste","Anaemia NOS, Lethargy (see also Central nervous system depression in Neurological), Polydipsia, Polyuria",1,1,
AUS-BIAHPV1P-16AU000515,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1359982&_xt=AER&_xf=pdf""> AER </a>",2019-11-26 00:00:00,Veterinarian,Australia,FEMALE,Dog,Shepherd Dog - German,Previcox 227 mg - Chewable tablet,Vomiting,1,1,
AUS-BIAHPV1P-16AU000531,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1359986&_xt=AER&_xf=pdf""> AER </a>",2019-11-26 00:00:00,Veterinarian,Australia,FEMALE,Dog,Rottweiler,"Previcox 227 mg - Chewable tablet, Tramadog 50 mg tablet for dogs","Elevated alanine aminotransferase (ALT), Elevated aspartate aminotransferase (AST), Elevated serum alkaline phosphatase (ALP), Inappetence, Lethargy (see also Central nervous system depression in Neurological)",1,1,
AUS-BIAHPV1P-16AU000534,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1359988&_xt=AER&_xf=pdf""> AER </a>",2019-11-26 00:00:00,Veterinarian,Australia,UNKNOWN,Dog,Dog (other),"Previcox 227 mg - Chewable tablet, Previcox 57 mg - Chewable tablet, Previcox 8.2 mg/g - Oral paste",Elevated creatinine,1,1,
AUS-BIAHPV1P-16AU000561,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1359989&_xt=AER&_xf=pdf""> AER </a>",2019-11-26 00:00:00,Veterinarian,Australia,FEMALE,Dog,Collie - Border,Previcox 227 mg - Chewable tablet,"Ataxia, Collapse (see also Cardio-vascular and Systemic disorders), Dry mucous membrane, Head tilt - ear disorder, Inappetence, Lethargy (see also Central nervous system depression in Neurological), Unable to stand, Vomiting",1,1,
AUS-BIAHPV1P-17AU000268,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1360036&_xt=AER&_xf=pdf""> AER </a>",2019-11-26 00:00:00,Veterinarian,Australia,FEMALE,Dog,Pug,Previcox 227 mg - Chewable tablet,"Abdominal pain, Abnormal radiograph finding, Decreased haemoglobin, Dehydration, Dry mucous membrane, Elevated total bilirubin, Enlarged lymph node (localised), Haemorrhagic diarrhoea, Hypoproteinaemia, Increased borborygmus, Lip licking, Monocytosis, Other abnormal test result NOS, Vomiting",1,1,
AUS-BIAHPV1P-17AU000295,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1360037&_xt=AER&_xf=pdf""> AER </a>",2019-11-26 00:00:00,Animal owner,Australia,FEMALE,Dog,Shepherd Dog - German,Previcox 227 mg - Chewable tablet,"Acidosis, Monocytosis, Other abnormal test result NOS, Vomiting",1,1,
