Case number,AER form,Received date,Reporter,Country,Gender,Species,Breed,Drug,Reaction,Animals affected,Animals treated,Animals died
AU-MERIAL-AU07SBO0023/CAS-02550-9R4Z4K,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=13602&_xt=AER&_xf=pdf""> AER </a>",2007-03-29 00:00:00,Veterinarian,Australia,FEMALE,Dog,Shepherd Dog - German,"Anarthron 100 mg/ml Solution for Injection, Cartrophen Vet 100 mg/ml Solution for Injection., Cartrophen Vet. 100 mg/ml injektionsvæske, opløsning, Cartrophen vet, Cartrophen vet. 100 mg/ml Injektionsvätska, lösning, Cartrophen vet. 100 mg/ml injektioneste, liuos, Previcox 227 mg - Chewable tablet","Breathing difficulty, Collapse NOS (see also Cardio-vascular and Neurological disorders), Low blood pressure, Pallor, Sudden death, Tachycardia",1,1,1
DE-BVL-2007-0418,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=19253&_xt=AER&_xf=pdf""> AER </a>",2007-10-17 00:00:00,Veterinarian,Germany,FEMALE,Dog,Retriever - Labrador,Previcox 227 mg - Chewable tablet,"Alopecia local, Erosion, Panting",1,1,
DE07ABE0019,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=13009&_xt=AER&_xf=pdf""> AER </a>",2007-02-26 00:00:00,Veterinarian,Germany,MALE,Dog,Schnauzer - Giant,Previcox 227 mg - Chewable tablet,"Death by euthanasia, Hyperglycaemia, Stumbling gait, Weakness",1,1,1
ES/ESRCEREP/ADR96/2007,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=12456&_xt=AER&_xf=pdf""> AER </a>",2007-02-07 00:00:00,Veterinarian,Spain,MALE,Dog,Boxer (German Boxer),Previcox 57 mg - Chewable tablet,Trembling,1,1,1
ES/RCEREP/ADR/1156/2007,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=14777&_xt=AER&_xf=pdf""> AER </a>",2007-06-01 00:00:00,Veterinarian,Spain,FEMALE,Dog,Crossbred Canine/dog,Previcox 57 mg - Chewable tablet,"Hypothermia, Vomiting, Weakness",1,1,1
ES/RCEREP/ADR/2244/2007,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=17303&_xt=AER&_xf=pdf""> AER </a>",2007-09-06 00:00:00,Veterinarian,Spain,FEMALE,Dog,Siberian Husky,Previcox 227 mg - Chewable tablet,"Death, Diarrhoea, Pale mucous membrane, Vomiting",1,1,1
ES/RCEREP/ADR/288/2007,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=13027&_xt=AER&_xf=pdf""> AER </a>",2007-03-02 00:00:00,Veterinarian,Spain,MALE,Dog,Poodle - Miniature,Previcox 57 mg - Chewable tablet,"Apathy, Bloody diarrhoea, Death",1,1,1
ES/RCEREP/ADR/821/2007,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=13939&_xt=AER&_xf=pdf""> AER </a>",2007-04-19 00:00:00,Veterinarian,Spain,MALE,Dog,Boxer (German Boxer),Previcox 227 mg - Chewable tablet,"Death, Syncope",1,1,1
FR-05 CPVL 01257,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=18645&_xt=AER&_xf=pdf""> AER </a>",2007-10-03 00:00:00,Veterinarian,France,UNKNOWN,Dog,Poodle - Miniature,"Previcox 227 mg - Chewable tablet, Previcox 57 mg - Chewable tablet, Previcox 8.2 mg/g - Oral paste",Epistaxis,1,1,
FR-05 CPVL 01570,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=19239&_xt=AER&_xf=pdf""> AER </a>",2007-10-17 00:00:00,Veterinarian,France,UNKNOWN,Dog,Unknown,"Previcox 227 mg - Chewable tablet, Previcox 57 mg - Chewable tablet, Previcox 8.2 mg/g - Oral paste",Vomiting,1,1,
